name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
3266,"-69.5151841911,-22.35116111075","-69.5152053784,-22.3511523947","-69.515205378,-22.3511698276","-69.5151630038,-22.3511698268","-69.5151630042,-22.3511523939",179.99878409395194,0.004357801282346542
3267,"-69.51518419072501,-22.3511785436","-69.515205378,-22.3511698276","-69.5152053777,-22.3511872604","-69.5151630034,-22.3511872596","-69.5151630038,-22.3511698268",179.99893610765918,0.004357805879304795
3268,"-69.51518419035,-22.35119597645","-69.5152053777,-22.3511872604","-69.5152053773,-22.3512046933","-69.515163003,-22.3512046925","-69.5151630034,-22.3511872596",179.99878409425628,0.004357810476262002
3269,"-69.5151839152,-22.35121799985","-69.5152051025,-22.3512092838","-69.5152051021,-22.3512267167","-69.5151627279,-22.3512267159","-69.5151627283,-22.351209283",179.99878413312047,0.004357799503250528
3270,"-69.515183914825,-22.3512354327","-69.5152051021,-22.3512267167","-69.5152051018,-22.3512441495","-69.5151627275,-22.3512441487","-69.5151627279,-22.3512267159",179.99893608875743,0.004357804100205365
3271,"-69.51518391445,-22.351252865550002","-69.5152051018,-22.3512441495","-69.5152051014,-22.3512615824","-69.5151627271,-22.3512615816","-69.5151627275,-22.3512441487",179.99878411408844,0.004357808697159156
3272,"-69.515183914075,-22.35127029845","-69.5152051014,-22.3512615824","-69.515205101,-22.3512790153","-69.5151627268,-22.3512790145","-69.5151627271,-22.3512615816",179.99893611446277,0.004357803009843238
3273,"-69.51518391372501,-22.351287731299998","-69.515205101,-22.3512790153","-69.5152051007,-22.3512964481","-69.5151627264,-22.3512964473","-69.5151627268,-22.3512790145",179.9989360698208,0.004357802464661385
3274,"-69.51518391335,-22.35130516415","-69.5152051007,-22.3512964481","-69.5152051003,-22.351313881","-69.515162726,-22.3513138802","-69.5151627264,-22.3512964473",179.99878409520892,0.004357807060881308
3275,"-69.51518391295,-22.351322597","-69.5152051003,-22.351313881","-69.5152050999,-22.3513313138","-69.5151627256,-22.351331313","-69.515162726,-22.3513138802",179.99878412705846,0.004357806515698649
3276,"-69.51518391257501,-22.35134002985","-69.5152050999,-22.3513313138","-69.5152050996,-22.3513487467","-69.5151627252,-22.3513487459","-69.5151627256,-22.351331313",179.99893607632316,0.004357811112645919
3277,"-69.5151839122,-22.351357462750002","-69.5152050996,-22.3513487467","-69.5152050992,-22.3513661796","-69.5151627248,-22.3513661788","-69.5151627252,-22.3513487459",179.9987841536731,0.004357815709590579
3278,"-69.515183911825,-22.351374895599996","-69.5152050992,-22.3513661796","-69.5152050988,-22.3513836124","-69.5151627245,-22.3513836116","-69.5151627248,-22.3513661788",179.99893607048608,0.004357810022276377
3279,"-69.51518391145,-22.35139232845","-69.5152050988,-22.3513836124","-69.5152050984,-22.3514010453","-69.5151627241,-22.3514010445","-69.5151627245,-22.3513836116",179.99878409596982,0.0043578043356931415
3280,"-69.515183911075,-22.35140976135","-69.5152050984,-22.3514010453","-69.5152050981,-22.3514184782","-69.5151627237,-22.3514184774","-69.5151627241,-22.3514010445",179.99893611552733,0.004357808932634661
3281,"-69.5151839107,-22.3514271942","-69.5152050981,-22.3514184782","-69.5152050977,-22.351435911","-69.5151627233,-22.3514359102","-69.5151627237,-22.3514184774",179.99878410863505,0.004357813529576698
3282,"-69.51518391030001,-22.35144462705","-69.5152050977,-22.351435911","-69.5152050973,-22.3514533439","-69.5151627229,-22.3514533431","-69.5151627233,-22.3514359102",179.99878409642622,0.004357812984389928
3283,"-69.515183909925,-22.3514620599","-69.5152050973,-22.3514533439","-69.515205097,-22.3514707767","-69.5151627225,-22.3514707759","-69.5151627229,-22.3514533431",179.99893610982383,0.004357817581328585
3284,"-69.515183909575,-22.351479492750002","-69.515205097,-22.3514707767","-69.5152050966,-22.3514882096","-69.5151627222,-22.3514882088","-69.5151627225,-22.3514707759",179.9989360967238,0.0043578170361410085
3285,"-69.51518390919999,-22.351496925649997","-69.5152050966,-22.3514882096","-69.5152050962,-22.3515056425","-69.5151627218,-22.3515056417","-69.5151627222,-22.3514882088",179.99878411621836,0.004357811348825635
3286,"-69.51518390882501,-22.3515143585","-69.5152050962,-22.3515056425","-69.5152050959,-22.3515230753","-69.5151627214,-22.3515230745","-69.5151627218,-22.3515056417",179.9989361102231,0.004357815945761151
3287,"-69.51518390845,-22.35153179135","-69.5152050959,-22.3515230753","-69.5152050955,-22.3515405082","-69.515162721,-22.3515405074","-69.5151627214,-22.3515230745",179.99878407785047,0.004357820541964894
3288,"-69.51518389495,-22.351551421450004","-69.5152050824,-22.3515427054","-69.515205082,-22.3515601383","-69.5151627075,-22.3515601375","-69.5151627079,-22.3515427046",179.99878407802203,0.004357819928058157
3289,"-69.515183894575,-22.3515688543","-69.515205082,-22.3515601383","-69.5152050817,-22.3515775711","-69.5151627071,-22.3515775703","-69.5151627075,-22.3515601375",179.99893612997533,0.004357824524989114
3290,"-69.515183894225,-22.35158628715","-69.5152050817,-22.3515775711","-69.5152050813,-22.351595004","-69.5151627068,-22.3515950032","-69.5151627071,-22.3515775703",179.99893609753929,0.00435782397979778
3291,"-69.51518389385001,-22.351603720025","-69.5152050813,-22.351595004","-69.5152050809,-22.3516124368","-69.5151627064,-22.3516124361","-69.5151627068,-22.3515950032",179.99878411366268,0.004357818292376972
3292,"-69.51518389347501,-22.351621152875","-69.5152050809,-22.3516124368","-69.5152050806,-22.3516298697","-69.515162706,-22.3516298689","-69.5151627064,-22.3516124361",179.9989360943183,0.0043578228893047894
3293,"-69.5151838931,-22.351638585725002","-69.5152050806,-22.3516298697","-69.5152050802,-22.3516473025","-69.5151627056,-22.3516473018","-69.515162706,-22.3516298689",179.99878411396696,0.004357827486231564
3294,"-69.51518389270001,-22.351656018575","-69.5152050802,-22.3516473025","-69.5152050798,-22.3516647354","-69.5151627052,-22.3516647346","-69.5151627056,-22.3516473018",179.99878409478288,0.004357826941037329
3295,"-69.51518389235,-22.351673451450004","-69.5152050798,-22.3516647354","-69.5152050795,-22.3516821683","-69.5151627049,-22.3516821675","-69.5151627052,-22.3516647346",179.9990881173228,0.004357826395948305
3296,"-69.51518389200001,-22.351690884325002","-69.5152050795,-22.3516821683","-69.5152050791,-22.3516996011","-69.5151627045,-22.3516996004","-69.5151627049,-22.3516821675",179.99878409508722,0.004357825850646086
3297,"-69.5151838916,-22.351708317175","-69.5152050791,-22.3516996011","-69.5152050787,-22.351717034","-69.5151627041,-22.3517170332","-69.5151627045,-22.3516996004",179.99878413391133,0.0043578253054506405
3298,"-69.51518389120001,-22.351725750025","-69.5152050787,-22.351717034","-69.5152050783,-22.3517344668","-69.5151627037,-22.3517344661","-69.5151627041,-22.3517170332",179.9987840953916,0.0043578247602547885
3299,"-69.51518389085,-22.3517431829","-69.5152050783,-22.3517344668","-69.515205078,-22.3517518997","-69.5151627034,-22.351751899","-69.5151627037,-22.3517344661",179.9990880597714,0.0043578242149513585
3300,"-69.5151838905,-22.351760615775","-69.515205078,-22.3517518997","-69.5152050776,-22.3517693326","-69.515162703,-22.3517693318","-69.5151627034,-22.351751899",179.9987841343679,0.00435782366986032
3301,"-69.51518389009999,-22.351778048625","-69.5152050776,-22.3517693326","-69.5152050772,-22.3517867654","-69.5151627026,-22.3517867647","-69.515162703,-22.3517693318",179.99878409584795,0.004357823124663258
3302,"-69.515183889725,-22.351795481475","-69.5152050772,-22.3517867654","-69.5152050769,-22.3518041983","-69.5151627022,-22.3518041975","-69.5151627026,-22.3517867647",179.99893613432118,0.004357827721579322
3303,"-69.51518388935,-22.351812914325002","-69.5152050769,-22.3518041983","-69.5152050765,-22.3518216311","-69.5151627018,-22.3518216304","-69.5151627022,-22.3518041975",179.99878407681626,0.004357832318494342
3304,"-69.515183888975,-22.3518303472","-69.5152050765,-22.3518216311","-69.5152050761,-22.351839064","-69.5151627015,-22.3518390633","-69.5151627018,-22.3518216304",179.99893613807433,0.004357826631075366
3305,"-69.515183888625,-22.35184778005","-69.5152050761,-22.351839064","-69.5152050758,-22.3518564968","-69.5151627011,-22.3518564961","-69.5151627015,-22.3518390633",179.9989360547608,0.0043578260858754036
3306,"-69.51518388825,-22.3518652129","-69.5152050758,-22.3518564968","-69.5152050754,-22.3518739297","-69.5151627007,-22.351873929","-69.5151627011,-22.3518564961",179.99878415810372,0.004357830682787283
3307,"-69.51518390084999,-22.35188611815","-69.5152050884,-22.3518774021","-69.515205088,-22.351894835","-69.5151627133,-22.3518948342","-69.5151627137,-22.3518774013",179.99878415828584,0.004357830029202268
3308,"-69.51518390047501,-22.351903551","-69.515205088,-22.351894835","-69.5152050877,-22.3519122678","-69.5151627129,-22.351912267","-69.5151627133,-22.3518948342",179.99893607452265,0.004357834626110557
