name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
32,"-68.5771877502,-24.0277476412","-68.5772090945,-24.0275506651","-68.5772078054,-24.0279447316","-68.5771664058,-24.0279446174","-68.5771676951,-24.0275505508",179.8287808891938,0.00420454021342871
33,"-68.5770717136,-24.0277473209","-68.5770930581,-24.0275503448","-68.5770917686,-24.0279444113","-68.577050369,-24.0279442971","-68.5770516586,-24.0275502305",179.82873483596651,0.004204545301967068
34,"-68.576955677,-24.0277470006","-68.5769770217,-24.0275500245","-68.5769757318,-24.027944091","-68.5769343323,-24.0279439767","-68.5769356222,-24.0275499101",179.82868739831554,0.004204540268736093
35,"-68.5768396404,-24.0277466801","-68.5768609852,-24.027549704","-68.576859695,-24.0279437705","-68.5768182955,-24.0279436562","-68.5768195858,-24.0275495897",179.82864201012393,0.004204535183623801
36,"-68.5767236038,-24.0277463595","-68.5767449488,-24.0275493835","-68.5767436582,-24.02794345","-68.5767022587,-24.0279433356","-68.5767035493,-24.0275492691",179.828594573666,0.004204540305798516
37,"-68.5766075672,-24.0277460389","-68.5766289123,-24.0275490629","-68.5766276215,-24.0279431294","-68.5765862219,-24.0279430149","-68.5765875129,-24.0275489484",179.82855371681444,0.004204540349208209
38,"-68.5764915305,-24.0277457182","-68.5765128759,-24.0275487421","-68.5765115847,-24.0279428086","-68.5764701851,-24.0279426942","-68.5764714765,-24.0275486277",179.82850246507826,0.004204540326044431
39,"-68.5763754939,-24.0277453974","-68.5763968395,-24.0275484213","-68.5763955479,-24.0279424878","-68.5763541483,-24.0279423734","-68.57635544,-24.0275483069",179.828456410992,0.0042045454160436185
40,"-68.5785819165,-24.0272219311","-68.5786032586,-24.0270249547","-68.5786019737,-24.0274190213","-68.5785605743,-24.0274189075","-68.5785618593,-24.0270248408",179.82934500617029,0.004204542043971785
41,"-68.5784658803,-24.0272216119","-68.5784872226,-24.0270246355","-68.5784859374,-24.0274187021","-68.578444538,-24.0274185882","-68.5784458233,-24.0270245216",179.82930481643604,0.004204542071154496
42,"-68.5783498441,-24.0272212926","-68.5783711866,-24.0270243162","-68.578369901,-24.0274183828","-68.5783285016,-24.0274182689","-68.5783297873,-24.0270242023",179.8292521829021,0.00420454208087837
