name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
32,"-70.79058744905001,-33.095426280575","-70.7906071448,-33.0958237193","-70.7905838801,-33.0958240535","-70.7905677534,-33.0950288419","-70.7905910179,-33.0950285076",180.9733556457197,0.002167530588794133
33,"-70.790536249875,-33.095427016225","-70.7905559454,-33.0958244549","-70.7905326807,-33.0958247892","-70.7905165545,-33.0950295775","-70.7905398189,-33.0950292433",180.97332849950638,0.0021675259134950383
34,"-70.790827224675,-33.09462288260001","-70.7908469211,-33.0950203213","-70.7908236567,-33.0950206556","-70.7908075283,-33.0942254439","-70.7908307926,-33.0942251096",180.97346407124198,0.002167527202314017
35,"-70.790776025975,-33.094623618300005","-70.7907957222,-33.095021057","-70.7907724578,-33.0950213913","-70.7907563298,-33.0942261796","-70.7907795941,-33.0942258453",180.97343993926998,0.002167527183517876
36,"-70.790724827275,-33.094624354000004","-70.7907445233,-33.0950217927","-70.7907212588,-33.095022127","-70.7907051314,-33.0942269153","-70.7907283956,-33.094226581",180.97340977737113,0.0021675271653346486
37,"-70.79067362855,-33.0946250897","-70.7906933243,-33.0950225284","-70.7906700599,-33.0950228627","-70.7906539329,-33.094227651","-70.7906771971,-33.0942273167",180.97338263090685,0.0021675224900349187
38,"-70.79062242984999,-33.094625825325004","-70.7906421254,-33.0950232641","-70.7906188609,-33.0950235983","-70.7906027344,-33.0942283866","-70.7906259987,-33.0942280523",180.97335231678176,0.0021675316909535894
39,"-70.79057123115,-33.094626560975","-70.7905909265,-33.0950239997","-70.790567662,-33.095024334","-70.7905515359,-33.0942291222","-70.7905748002,-33.094228788",180.97332818557413,0.0021675316734755443
40,"-70.79052003242501,-33.094627296575","-70.7905397275,-33.0950247353","-70.7905164631,-33.0950250696","-70.7905003374,-33.0942298578","-70.7905236017,-33.0942295236",180.97330103988608,0.002167526997516536
41,"-70.790805610975,-33.093557196249996","-70.7908253069,-33.093954635","-70.7908020427,-33.0939549693","-70.7907859152,-33.0931597575","-70.7908091791,-33.0931594232",180.97342749293415,0.0021675255266129312
42,"-70.7907544129,-33.09355793195","-70.7907741086,-33.0939553707","-70.7907508444,-33.093955705","-70.7907347173,-33.0931604932","-70.7907579813,-33.0931601589",180.9734003436748,0.0021675301664120265
43,"-70.7947990559,-33.093499747725","-70.7948187697,-33.0938971852","-70.7947955056,-33.0938975203","-70.7947793422,-33.0931023102","-70.7948026061,-33.0931019752",180.97559369305245,0.0021675237172211234
44,"-70.79474785795,-33.09350048505","-70.7947675715,-33.0938979226","-70.7947443074,-33.0938982576","-70.7947281445,-33.0931030475","-70.7947514084,-33.0931027125",180.9755633804469,0.0021675236041523525
45,"-70.79469666,-33.09350122235","-70.7947163734,-33.0938986599","-70.7946931093,-33.0938989949","-70.7946769467,-33.0931037848","-70.7947002106,-33.0931034498",180.97554527923688,0.0021675235853176023
46,"-70.79464546205,-33.09350195965","-70.7946651752,-33.0938993972","-70.7946419111,-33.0938997322","-70.794625749,-33.0931045221","-70.7946490129,-33.0931041871",180.9755151165279,0.0021675235664760564
47,"-70.7945942641,-33.0935026969","-70.794613977,-33.0939001345","-70.7945907129,-33.0939004695","-70.7945745513,-33.0931052593","-70.7945978152,-33.0931049243",180.97548483047245,0.0021675235489729714
48,"-70.79454306617501,-33.09350343415","-70.7945627789,-33.0939008717","-70.7945395147,-33.0939012067","-70.7945233536,-33.0931059966","-70.7945466175,-33.0931056616",180.97545780522768,0.00216752818801644
49,"-70.79449186824999,-33.0935041714","-70.7945115807,-33.093901609","-70.7944883166,-33.093901944","-70.7944721559,-33.0931067338","-70.7944954198,-33.0931063988",180.9754305361784,0.002167523513284602
50,"-70.7944406703,-33.093504908575","-70.7944603825,-33.0939023462","-70.7944371184,-33.0939026812","-70.7944209582,-33.0931074709","-70.7944442221,-33.093107136",180.97540022361176,0.002167523398924431
51,"-70.7943894723,-33.09350564575","-70.7944091843,-33.0939030834","-70.7943859202,-33.0939034183","-70.7943697604,-33.0931082081","-70.7943930243,-33.0931078732",180.97537606393482,0.002167523285219258
52,"-70.79433827435,-33.093506382925","-70.7943579861,-33.0939038206","-70.794334722,-33.0939041555","-70.7943185627,-33.0931089453","-70.7943418266,-33.0931086103",180.9753459285551,0.002167523362584688
53,"-70.7942870764,-33.093507120050006","-70.7943067879,-33.0939045577","-70.7942835238,-33.0939048927","-70.794267365,-33.0931096824","-70.7942906289,-33.0931093474",180.97531579277978,0.0021675234399446057
54,"-70.794235878475,-33.093507857175","-70.7942555898,-33.0939052948","-70.7942323256,-33.0939056298","-70.7942161673,-33.0931104195","-70.7942394312,-33.0931100846",180.9752886176497,0.0021675279834624216
55,"-70.794184680475,-33.093508594275","-70.7942043916,-33.093906032","-70.7941811274,-33.0939063669","-70.7941649695,-33.0931111566","-70.7941882334,-33.0931108216",180.97526436200457,0.0021675279659633525
