name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
32,"-70.2996495459,-25.1272607413","-70.2996651373,-25.1270986021","-70.2996685656,-25.127422577","-70.2996339546,-25.1274228805","-70.2996305263,-25.1270989056",180.54896527630694,0.003484529021736901
33,"-70.2995701793,-25.1272614373","-70.2995857707,-25.1270992981","-70.2995891989,-25.12742327300001","-70.2995545878,-25.1274235766","-70.2995511597,-25.1270996016",180.5489422374065,0.0034845340891927748
34,"-70.2994917584,-25.1272616238","-70.2995094567,-25.1270999673","-70.2995086712,-25.1274229767","-70.2994740601,-25.1274232802","-70.2994748457,-25.1271002709",179.88019576839645,0.0034845340838789403
35,"-70.3002121559,-25.1276592003","-70.3002292773,-25.1275505857","-70.3002296457,-25.1277675112","-70.3001950345,-25.1277678149","-70.3001946662,-25.12755088939999",180.09763379644977,0.003484532972940769
36,"-70.3001312583,-25.127606372","-70.300146849,-25.1274442328","-70.3001502787,-25.1277682076","-70.3001156676,-25.1277685113","-70.300112238,-25.1274445364",180.54918050558763,0.0034845243596299457
37,"-70.3000539265,-25.1276070505","-70.3000695173,-25.1274449112","-70.3000729468,-25.1277688861","-70.3000383357,-25.1277691897","-70.3000349062,-25.1274452149",180.54915670147312,0.003484529373733552
38,"-70.2999755772,-25.1276077378","-70.2999911681,-25.1274455986","-70.2999945974,-25.1277695734","-70.2999599862,-25.127769877","-70.299956557,-25.1274459022",180.5491162739272,0.003484534332985674
39,"-70.2998951928,-25.127608443","-70.2999107838,-25.1274463037","-70.2999142129,-25.1277702786","-70.2998796017,-25.1277705822","-70.2998761727,-25.1274466073",180.5490843805204,0.0034845343135889236
40,"-70.2998117558,-25.1276091748","-70.2998273469,-25.1274470356","-70.2998307758,-25.1277710105","-70.2997961646,-25.127771314","-70.2997927358,-25.1274473392",180.5490518896429,0.003484534238860677
41,"-70.299734424,-25.1276098531","-70.2997500152,-25.1274477139","-70.2997534439,-25.1277716888","-70.2997188327,-25.1277719923","-70.2997154041,-25.1274480175",180.5490201622125,0.0034845342195144458
42,"-70.2996560746,-25.1276105403","-70.2996716659,-25.1274484011","-70.2996750944,-25.1277723759","-70.2996404832,-25.1277726795","-70.2996370549,-25.1274487046",180.5489805124221,0.0034845291657424624
43,"-70.2995767077,-25.1276112363","-70.2995922992,-25.1274490971","-70.2995957274,-25.127773072","-70.2995611162,-25.1277733755","-70.2995576881,-25.1274494006",180.54893991794137,0.003484534126206211
44,"-70.2994958371,-25.1276135944","-70.2995119149,-25.127449802","-70.2995143704,-25.1277770832","-70.2994797593,-25.1277773867","-70.2994773038,-25.1274501056",180.39069278449344,0.0034845290786477048
45,"-70.3002118849,-25.1279038522","-70.3002280609,-25.1277970013","-70.3002303202,-25.1280103995","-70.3001957089,-25.1280107032","-70.3001934497,-25.127797305",180.54929653682072,0.0034845360611856155
46,"-70.3001331032,-25.1279598369","-70.3001486939,-25.1277976976","-70.3001521237,-25.1281216725","-70.3001175124,-25.1281219761","-70.3001140827,-25.1277980013",180.5491947791691,0.003484534410504634
47,"-70.3000537361,-25.1279605332","-70.3000693269,-25.127798394","-70.3000727565,-25.1281223688","-70.3000381452,-25.1281226724","-70.3000347157,-25.1277986976",180.54916228945453,0.003484534337485631
48,"-70.299974369,-25.1279612295","-70.2999899599,-25.1277990902","-70.2999933893,-25.1281230651","-70.299958778,-25.1281233687","-70.2999553488,-25.1277993939",180.54912340111864,0.003484529338056764
