name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
110,"-69.52756888580001,-22.332300046799997","-69.5275900732,-22.3322913311","-69.5275900726,-22.3323087639","-69.5275476984,-22.3323087625","-69.527547699,-22.3322913297",179.99817589336755,0.0043583908912218135
111,"-69.52756888515,-22.33231747965","-69.5275900726,-22.3323087639","-69.5275900719,-22.3323261968","-69.5275476977,-22.3323261954","-69.5275476984,-22.3323087625",179.9978719009622,0.00435839034574945
112,"-69.52756888445,-22.33233491255","-69.5275900719,-22.3323261968","-69.5275900712,-22.3323436297","-69.527547697,-22.3323436283","-69.5275476977,-22.3323261954",179.99787192056607,0.0043583898002751194
113,"-69.5275688838,-22.332352345399997","-69.5275900712,-22.3323436297","-69.5275900706,-22.3323610625","-69.5275476964,-22.3323610611","-69.527547697,-22.3323436283",179.9981759133904,0.004358389255532776
114,"-69.52756888315,-22.33236977825","-69.5275900706,-22.3323610625","-69.5275900699,-22.3323784954","-69.5275476957,-22.332378494","-69.5275476964,-22.3323610611",179.9978719017596,0.0043583887115208565
115,"-69.52736034275,-22.33171925245","-69.5273815302,-22.3317105367","-69.5273815295,-22.3317279696","-69.5273391553,-22.3317279682","-69.527339156,-22.3317105353",179.99787189183365,0.0043584090396476954
116,"-69.5273603421,-22.3317366853","-69.5273815295,-22.3317279696","-69.5273815289,-22.3317454024","-69.5273391547,-22.331745401","-69.5273391553,-22.3317279682",179.9981759053387,0.00435840849418877
117,"-69.52736034144999,-22.331754118150002","-69.5273815289,-22.3317454024","-69.5273815282,-22.3317628353","-69.527339154,-22.3317628339","-69.5273391547,-22.331745401",179.99787189236673,0.004358407948729442
118,"-69.52736034075,-22.33177155105","-69.5273815282,-22.3317628353","-69.5273815275,-22.3317802682","-69.5273391533,-22.3317802668","-69.527339154,-22.3317628339",179.99787189263213,0.004358407403998978
119,"-69.52736034009999,-22.331788983899997","-69.5273815275,-22.3317802682","-69.5273815269,-22.331797701","-69.5273391527,-22.3317976996","-69.5273391533,-22.3317802668",179.99817590602282,0.004358406860000503
120,"-69.52736033945,-22.331806416750002","-69.5273815269,-22.331797701","-69.5273815262,-22.3318151339","-69.527339152,-22.3318151325","-69.5273391527,-22.3317976996",179.99787189316453,0.004358406316001625
121,"-69.52736033880001,-22.33182384965","-69.5273815262,-22.3318151339","-69.5273815256,-22.3318325668","-69.5273391514,-22.3318325654","-69.527339152,-22.3318151325",179.9981759362807,0.00435840577126995
122,"-69.52736033815,-22.3318412825","-69.5273815256,-22.3318325668","-69.5273815249,-22.3318499996","-69.5273391507,-22.3318499982","-69.5273391514,-22.3318325654",179.9978718621498,0.004358405225808605
123,"-69.52736033745,-22.331858715350002","-69.5273815249,-22.3318499996","-69.5273815242,-22.3318674325","-69.52733915,-22.3318674311","-69.5273391507,-22.3318499982",179.9978719133009,0.004358404680346857
124,"-69.5273603368,-22.331876148250004","-69.5273815242,-22.3318674325","-69.5273815236,-22.3318848654","-69.5273391494,-22.331884864","-69.52733915,-22.3318674311",179.9981759176261,0.004358404135613971
125,"-69.52736033615,-22.331893581150002","-69.5273815236,-22.3318848654","-69.5273815229,-22.3319022983","-69.5273391487,-22.3319022969","-69.5273391494,-22.331884864",179.9978718751555,0.004358403591611513
126,"-69.52736033545,-22.331911014","-69.5273815229,-22.3319022983","-69.5273815222,-22.3319197311","-69.527339148,-22.3319197297","-69.5273391487,-22.3319022969",179.9978719212304,0.004358403047610213
127,"-69.5273603348,-22.33192844685","-69.5273815222,-22.3319197311","-69.5273815216,-22.331937164","-69.5273391474,-22.3319371626","-69.527339148,-22.3319197297",179.99817589897117,0.0043584025028776795
128,"-69.52736033414999,-22.33194587975","-69.5273815216,-22.331937164","-69.5273815209,-22.3319545969","-69.5273391467,-22.3319545955","-69.5273391474,-22.3319371626",179.9978719146306,0.004358401957412352
129,"-69.5273603335,-22.331963312600003","-69.5273815209,-22.3319545969","-69.5273815203,-22.3319720297","-69.5273391461,-22.3319720283","-69.5273391467,-22.3319545955",179.99817588896389,0.004358401411948182
130,"-69.52736033285001,-22.33198074545","-69.5273815203,-22.3319720297","-69.5273815196,-22.3319894626","-69.5273391454,-22.3319894612","-69.5273391461,-22.3319720283",179.99787193450084,0.004358400867214439
131,"-69.52736033215,-22.33199817835","-69.5273815196,-22.3319894626","-69.5273815189,-22.3320068955","-69.5273391447,-22.3320068941","-69.5273391454,-22.3319894612",179.99787187675196,0.004358400323209559
132,"-69.5273603315,-22.332015611200003","-69.5273815189,-22.3320068955","-69.5273815183,-22.3320243283","-69.5273391441,-22.3320243269","-69.5273391447,-22.3320068941",179.99817592832528,0.004358399779205838
133,"-69.52736033085,-22.332033044049997","-69.5273815183,-22.3320243283","-69.5273815176,-22.3320417612","-69.5273391434,-22.3320417598","-69.5273391441,-22.3320243269",179.99787189662186,0.004358399234470884
134,"-69.5273600553,-22.33205506755","-69.5273812427,-22.3320463518","-69.527381242,-22.3320637847","-69.5273388679,-22.3320637833","-69.5273388686,-22.3320463504",179.9978719162965,0.004358388260604471
135,"-69.52736005464999,-22.3320725004","-69.527381242,-22.3320637847","-69.5273812414,-22.3320812175","-69.5273388673,-22.3320812161","-69.5273388679,-22.3320637833",179.99817589039174,0.004358387715139061
